Date,Close
1/4/2016,73.55
1/5/2016,74.84
1/6/2016,74.08
1/7/2016,73.88
1/8/2016,71.38
1/11/2016,72.42
1/12/2016,73.36
1/13/2016,71.64
1/14/2016,70.41
1/15/2016,70.08
1/19/2016,69.24
1/20/2016,67.59
1/21/2016,68.64
1/22/2016,69.72
1/25/2016,68.92
1/26/2016,70.44
1/27/2016,70.69
1/28/2016,70.99
1/29/2016,72.42
2/1/2016,72.83
2/2/2016,73.31
2/3/2016,72.57
2/4/2016,70.04
2/5/2016,69.56
2/8/2016,70
2/9/2016,69.86
2/10/2016,68.76
2/11/2016,68.05
2/12/2016,69.95
2/16/2016,71.5
2/17/2016,72.1
2/18/2016,72.53
2/19/2016,72.32
2/22/2016,72.47
2/23/2016,73.99
2/24/2016,76.94
2/25/2016,78.67
2/26/2016,78.43
2/29/2016,78.45
3/1/2016,80.96
3/2/2016,81.1
3/3/2016,79.71
3/4/2016,81.13
3/7/2016,80.82
3/8/2016,80.53
3/9/2016,81.21
3/10/2016,81.5
3/11/2016,81.87
3/14/2016,81.77
3/15/2016,81.65
3/16/2016,82.39
3/17/2016,83.02
3/18/2016,82.71
3/21/2016,82.2
3/22/2016,81.7
3/23/2016,81.5
3/24/2016,82.04
3/28/2016,82.8
3/29/2016,82.97
3/30/2016,83.6
3/31/2016,82.28
4/1/2016,82.76
4/4/2016,82.3
4/5/2016,82.1
4/6/2016,82.17
4/7/2016,81.57
4/8/2016,80.88
4/11/2016,79.77
4/12/2016,80.78
4/13/2016,81.56
4/14/2016,81.78
4/15/2016,82.6
4/18/2016,83.42
4/19/2016,83.98
4/20/2016,82.87
4/21/2016,82.75
4/22/2016,82.33
4/25/2016,82.6
4/26/2016,82.6
4/27/2016,83.29
4/28/2016,81.33
4/29/2016,79.5
5/2/2016,80.12
5/3/2016,79.99
5/4/2016,79.71
5/5/2016,78.13
5/6/2016,78.74
5/9/2016,79.93
5/10/2016,80.05
5/11/2016,75.7
5/12/2016,75.6
5/13/2016,73.88
5/16/2016,74.61
5/17/2016,73.61
5/18/2016,68
5/19/2016,67.06
5/20/2016,68.66
5/23/2016,67.93
5/24/2016,68.69
5/25/2016,69.28
5/26/2016,68.91
5/27/2016,68.9
5/31/2016,68.78
6/1/2016,68.41
