Date,Close
1/4/2016,109.23
1/5/2016,109.93
1/6/2016,109.77
1/7/2016,106.75
1/8/2016,108.97
1/11/2016,106.22
1/12/2016,109.76
1/13/2016,107.96
1/14/2016,107.14
1/15/2016,104.16
1/19/2016,104.92
1/20/2016,106.46
1/21/2016,107.71
1/22/2016,111.6
1/25/2016,110.73
1/26/2016,112.17
1/27/2016,111.06
1/28/2016,112.2
1/29/2016,113.93
2/1/2016,114.35
2/2/2016,113.75
2/3/2016,113.8
2/4/2016,114
2/5/2016,110.37
2/8/2016,108.16
2/9/2016,105.62
2/10/2016,107
2/11/2016,106.9
2/12/2016,109.5
2/16/2016,111.08
2/17/2016,112.95
2/18/2016,112.04
2/19/2016,112.87
2/22/2016,115.09
2/23/2016,117.62
2/24/2016,117.61
2/25/2016,132.9
2/26/2016,134.39
2/29/2016,133.04
3/1/2016,134.15
3/2/2016,133.06
3/3/2016,132.84
3/4/2016,132.99
3/7/2016,134.02
3/8/2016,134.24
3/9/2016,133.78
3/10/2016,133.01
3/11/2016,131.72
3/14/2016,132.65
3/15/2016,131.2
3/16/2016,131.85
3/17/2016,131.27
3/18/2016,130.81
3/21/2016,131.17
3/22/2016,130.73
3/23/2016,130.12
3/24/2016,128.74
3/28/2016,129.15
3/29/2016,130.09
3/30/2016,130.97
3/31/2016,131.86
4/1/2016,133.47
4/4/2016,133.36
4/5/2016,132.32
4/6/2016,135.94
4/7/2016,136.26
4/8/2016,137.05
4/11/2016,137.24
4/12/2016,136.74
4/13/2016,137.14
4/14/2016,137.27
4/15/2016,138.62
4/18/2016,138.65
4/19/2016,137.52
4/20/2016,140.01
4/21/2016,137.9
4/22/2016,132.41
4/25/2016,133.67
4/26/2016,133.81
4/27/2016,133.63
4/28/2016,120.47
4/29/2016,120.88
5/2/2016,120.37
5/3/2016,118.56
5/4/2016,119.02
5/5/2016,119.93
5/6/2016,119.31
5/9/2016,121.51
5/10/2016,122.22
5/11/2016,119.83
5/12/2016,121.46
5/13/2016,121.95
5/16/2016,123.17
5/17/2016,121.07
5/18/2016,121.13
5/19/2016,120.82
5/20/2016,123.06
5/23/2016,121.88
5/24/2016,122.52
5/25/2016,121.29
5/26/2016,123
5/27/2016,122.18
5/31/2016,120.88
6/1/2016,121.4
6/2/2016,123.25
6/3/2016,122.21
6/6/2016,124.36
6/7/2016,124.82
6/8/2016,126.39
6/9/2016,127.48
6/10/2016,126.25
6/13/2016,124.79
6/14/2016,126.36
6/15/2016,126.38
6/16/2016,126.95
6/17/2016,127.29
6/20/2016,127.49
6/21/2016,127.33
6/22/2016,125.32
6/23/2016,127.25
6/24/2016,124.97
6/27/2016,122.08
6/28/2016,124.53
6/29/2016,126.88
6/30/2016,131.38
7/1/2016,132.59
7/5/2016,133.93
7/6/2016,134.98
7/7/2016,133.86
7/8/2016,135.11
7/11/2016,136
7/12/2016,135.65
7/13/2016,135.42
7/14/2016,135.64
7/15/2016,135.7
7/18/2016,135.55
7/19/2016,135.55
7/20/2016,136.89
7/21/2016,144.66
7/22/2016,148.78
7/25/2016,147.69
7/26/2016,146.13
7/27/2016,147.23
7/28/2016,147.25
7/29/2016,147.3
8/1/2016,147.52
8/2/2016,145.45
8/3/2016,146.16
8/4/2016,146.5
8/5/2016,146.18
8/8/2016,144.7
8/9/2016,144.92
8/10/2016,145
8/11/2016,146.02
8/12/2016,146.13
8/15/2016,145.15
8/16/2016,143.97
8/17/2016,144.57
8/18/2016,147.13
8/19/2016,147.28
8/22/2016,150.07
8/23/2016,150.48
8/24/2016,149.82
8/25/2016,150.24
8/26/2016,148.35
8/29/2016,149.99
8/30/2016,149.43
8/31/2016,149.57
9/1/2016,149.01
9/2/2016,151
9/6/2016,150.18
9/7/2016,150.48
9/8/2016,149.24
9/9/2016,146.13
9/12/2016,150.21
9/13/2016,149.66
9/14/2016,150.3
9/15/2016,151.79
9/16/2016,150.03
9/19/2016,151.51
9/20/2016,151.94
9/21/2016,152.61
9/22/2016,154.08
9/23/2016,154.26
9/26/2016,153.49
9/27/2016,153.63
9/28/2016,152.78
9/29/2016,151.75
9/30/2016,151.85
10/3/2016,151.58
10/4/2016,151.47
10/5/2016,150.97
